,year,month,count
0,2000,1,232
1,2000,2,196
2,2000,3,187
3,2000,4,117
4,2000,5,121
5,2000,6,107
6,2000,7,93
7,2000,8,66
8,2000,9,105
9,2000,10,147
10,2000,11,268
11,2000,12,334
12,2001,1,155
13,2001,2,207
14,2001,3,186
15,2001,4,126
16,2001,5,103
17,2001,6,101
18,2001,7,90
19,2001,8,99
20,2001,9,129
21,2001,10,227
22,2001,11,358
23,2001,12,381
24,2002,1,237
25,2002,2,275
26,2002,3,228
27,2002,4,166
28,2002,5,179
29,2002,6,155
30,2002,7,260
31,2002,8,232
32,2002,9,244
33,2002,10,309
34,2002,11,504
35,2002,12,435
36,2003,1,392
37,2003,2,362
38,2003,3,353
39,2003,4,250
40,2003,5,316
41,2003,6,278
42,2003,7,377
43,2003,8,671
44,2003,9,321
45,2003,10,495
46,2003,11,516
47,2003,12,750
48,2004,1,359
49,2004,2,248
50,2004,3,349
51,2004,4,168
52,2004,5,159
53,2004,6,160
54,2004,7,155
55,2004,8,101
56,2004,9,268
57,2004,10,294
58,2004,11,426
59,2004,12,719
60,2005,1,405
61,2005,2,374
62,2005,3,572
63,2005,4,365
64,2005,5,254
65,2005,6,285
66,2005,7,326
67,2005,8,233
68,2005,9,415
69,2005,10,313
70,2005,11,533
71,2005,12,628
72,2006,1,338
73,2006,2,377
74,2006,3,328
75,2006,4,223
76,2006,5,312
77,2006,6,290
78,2006,7,213
79,2006,8,268
80,2006,9,257
81,2006,10,358
82,2006,11,455
83,2006,12,577
84,2007,1,314
85,2007,2,305
86,2007,3,338
87,2007,4,156
88,2007,5,188
89,2007,6,194
90,2007,7,123
91,2007,8,108
92,2007,9,206
93,2007,10,238
94,2007,11,412
95,2007,12,513
96,2008,1,250
97,2008,2,292
98,2008,3,230
99,2008,4,211
100,2008,5,136
101,2008,6,206
102,2008,7,157
103,2008,8,97
104,2008,9,203
105,2008,10,258
106,2008,11,421
107,2008,12,461
108,2009,1,308
109,2009,2,236
110,2009,3,271
111,2009,4,200
112,2009,5,280
113,2009,6,178
114,2009,7,224
115,2009,8,195
116,2009,9,289
117,2009,10,433
118,2009,11,528
119,2009,12,845
120,2010,1,564
121,2010,2,653
122,2010,3,741
123,2010,4,425
124,2010,5,517
125,2010,6,373
126,2010,7,346
127,2010,8,301
128,2010,9,369
129,2010,10,574
130,2010,11,1002
131,2010,12,1088
132,2011,1,564
133,2011,2,751
134,2011,3,543
135,2011,4,434
136,2011,5,379
137,2011,6,345
138,2011,7,305
139,2011,8,242
140,2011,9,397
141,2011,10,563
142,2011,11,614
143,2011,12,1019
144,2012,1,475
145,2012,2,521
146,2012,3,615
147,2012,4,367
148,2012,5,323
149,2012,6,444
150,2012,7,324
151,2012,8,262
152,2012,9,470
153,2012,10,534
154,2012,11,771
155,2012,12,908
156,2013,1,581
157,2013,2,565
158,2013,3,571
159,2013,4,410
160,2013,5,360
161,2013,6,295
162,2013,7,289
163,2013,8,291
164,2013,9,347
165,2013,10,523
166,2013,11,789
167,2013,12,913
168,2014,1,397
169,2014,2,579
170,2014,3,456
171,2014,4,396
172,2014,5,541
173,2014,6,232
174,2014,7,226
175,2014,8,220
176,2014,9,415
177,2014,10,499
178,2014,11,907
179,2014,12,1080
180,2015,1,519
181,2015,2,571
182,2015,3,667
183,2015,4,409
184,2015,5,386
185,2015,6,330
186,2015,7,346
187,2015,8,290
188,2015,9,334
189,2015,10,551
190,2015,11,778
191,2015,12,1028
192,2016,1,550
193,2016,2,735
194,2016,3,643
195,2016,4,473
196,2016,5,320
197,2016,6,373
198,2016,7,366
199,2016,8,332
200,2016,9,383
201,2016,10,494
202,2016,11,700
203,2016,12,1001
204,2017,1,472
205,2017,2,650
206,2017,3,553
207,2017,4,347
208,2017,5,383
209,2017,6,322
210,2017,7,250
211,2017,8,265
212,2017,9,363
213,2017,10,449
214,2017,11,609
215,2017,12,1039
216,2018,1,513
217,2018,2,498
218,2018,3,422
219,2018,4,414
220,2018,5,267
221,2018,6,239
222,2018,7,174
223,2018,8,367
224,2018,9,314
225,2018,10,348
226,2018,11,646
227,2018,12,852
228,2019,1,362
229,2019,2,461
230,2019,3,383
231,2019,4,265
232,2019,5,349
233,2019,6,175
234,2019,7,234
235,2019,8,301
236,2019,9,245
237,2019,10,457
238,2019,11,582
239,2019,12,849
240,2020,1,424
241,2020,2,565
242,2020,3,336
243,2020,4,439
244,2020,5,610
245,2020,6,522
246,2020,7,399
247,2020,8,238
248,2020,9,402
249,2020,10,338
250,2020,11,557
251,2020,12,902
